date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:37:47	39620/39620	---M--	200	added ('OK')	application/octet-stream	etag:%221162c28db253e6ff4b66c21bfeface94%22	https://cdn.bitpanda.com/media/fonts/EuclidSquare/EuclidSquare-Semibold.woff2	/home/arewageek/dev/clones/247%20coin%20trading/cdn.bitpanda.com/media/fonts/EuclidSquare/EuclidSquare-Semibold.woff2	(from https://247cointrading.com/)
15:37:51	119980/119980	---M-Z	200	added ('OK')	text/html	etag:%221d4ac-6423e40f-e5df3702ab290ada;gz%22	https://247cointrading.com/index.html	/home/arewageek/dev/clones/247%20coin%20trading/247cointrading.com/index-2.html	(from https://247cointrading.com/)
15:37:53	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63fcba95-2a6960330769ea18;gz%22	https://247cointrading.com/de.html	/home/arewageek/dev/clones/247%20coin%20trading/247cointrading.com/de.7.delayed	(from https://247cointrading.com/)
15:37:54	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63fcba95-2a6960330769ea18;gz%22	https://247cointrading.com/fr.html	/home/arewageek/dev/clones/247%20coin%20trading/247cointrading.com/fr.html	(from https://247cointrading.com/)
15:37:55	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63fcba95-2a6960330769ea18;gz%22	https://247cointrading.com/es.html	/home/arewageek/dev/clones/247%20coin%20trading/247cointrading.com/es.html	(from https://247cointrading.com/)
15:37:56	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63fcba95-2a6960330769ea18;gz%22	https://247cointrading.com/it.html	/home/arewageek/dev/clones/247%20coin%20trading/247cointrading.com/it.html	(from https://247cointrading.com/)
15:37:58	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63fcba95-2a6960330769ea18;gz%22	https://247cointrading.com/pl.html	/home/arewageek/dev/clones/247%20coin%20trading/247cointrading.com/pl.html	(from https://247cointrading.com/)
15:37:58	665714/665714	---MCZ	200	added ('OK')	text/css	etag:W/%22144ca32bd1d66339ff78df73d5067b71%22	https://cdn.bitpanda.com/app/v2/css/all.min.css?id=21c769637faa4e5e25cf	/home/arewageek/dev/clones/247%20coin%20trading/cdn.bitpanda.com/app/v2/css/all.minb4e4.css	(from https://247cointrading.com/)
15:38:01	117824/117824	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e37b5634f1d9be3b8e80eaca002f37ae%22	https://cdn.bitpanda.com/app/v2/js/head.min.js?id=e37b5634f1d9be3b8e80	/home/arewageek/dev/clones/247%20coin%20trading/cdn.bitpanda.com/app/v2/js/head.min085f.js	(from https://247cointrading.com/)
15:38:01	21717/21717	---M-Z	200	added ('OK')	application/x-javascript	etag:%22befec09eb386fc68a0869c8d1b529dd6%22	https://widget.trustpilot.com/bootstrap/v5/tp.widget.bootstrap.min.js	/home/arewageek/dev/clones/247%20coin%20trading/widget.trustpilot.com/bootstrap/v5/tp.widget.bootstrap.min.js	(from https://247cointrading.com/)
15:38:03	3492/3492	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2014%20Oct%202023%2014:32:20%20GMT	https://geoip-js.com/js/apis/geoip2/v2.1/geoip2.js	/home/arewageek/dev/clones/247%20coin%20trading/geoip-js.com/js/apis/geoip2/v2.1/geoip2.js	(from https://247cointrading.com/)
15:38:03	10401/10401	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22164f494b4f642eefecb7bc6967dd3dd8%22	https://cdn.bitpanda.com/media/New%20navigation_Rebrand%203.0/Cryptos.svg	/home/arewageek/dev/clones/247%20coin%20trading/cdn.bitpanda.com/media/New%20navigation_Rebrand%203.0/Cryptos.svg	(from https://247cointrading.com/)
15:38:04	1397/1397	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22427ab7199692811acd421c088014c704%22	https://cdn.bitpanda.com/media/asset-icons/asset-btc.svg	/home/arewageek/dev/clones/247%20coin%20trading/cdn.bitpanda.com/media/asset-icons/asset-btc.svg	(from https://247cointrading.com/)
15:38:05	410/410	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2246a990311976549a778e1263866506d8%22	https://cdn.bitpanda.com/media/asset-icons/asset-eth.svg	/home/arewageek/dev/clones/247%20coin%20trading/cdn.bitpanda.com/media/asset-icons/asset-eth.svg	(from https://247cointrading.com/)
15:38:06	931/931	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225d3aed92faa60b62d172b36205ee2958%22	https://cdn.bitpanda.com/media/asset-icons/asset-best.svg	/home/arewageek/dev/clones/247%20coin%20trading/cdn.bitpanda.com/media/asset-icons/asset-best.svg	(from https://247cointrading.com/)
15:38:07	537/537	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22072b4cd0c92d6463eca72298b1748c0e%22	https://cdn.bitpanda.com/media/asset-icons/asset-link.svg	/home/arewageek/dev/clones/247%20coin%20trading/cdn.bitpanda.com/media/asset-icons/asset-link.svg	(from https://247cointrading.com/)
15:38:11	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63fcba95-2a6960330769ea18;gz%22	https://247cointrading.com/en/prices/etfs/top-50-USDo-stocks-USDostoxx50.html	/home/arewageek/dev/clones/247%20coin%20trading/247cointrading.com/en/prices/etfs/top-50-USDo-stocks-USDostoxx50.16.delayed	(from https://247cointrading.com/)
15:38:11	243/243	---MCZ	403	error ('Forbidden')	application/xml	date:Sat,%2014%20Oct%202023%2014:38:11%20GMT	https://cdn.bitpanda.com/media/New%20navigation_Rebrand%203.0/USDostoxx50.svg	/home/arewageek/dev/clones/247%20coin%20trading/cdn.bitpanda.com/media/New%20navigation_Rebrand%203.0/USDostoxx50.svg	(from https://247cointrading.com/)
15:38:13	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63fcba95-2a6960330769ea18;gz%22	https://247cointrading.com/en/prices/etfs/top-40-german-stocks-dax.html	/home/arewageek/dev/clones/247%20coin%20trading/247cointrading.com/en/prices/etfs/top-40-german-stocks-dax.html	(from https://247cointrading.com/)
15:38:13	567/567	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22bbd13c60676e3e326a2c079b57c3e761%22	https://cdn.bitpanda.com/media/New%20navigation_Rebrand%203.0/dax.svg	/home/arewageek/dev/clones/247%20coin%20trading/cdn.bitpanda.com/media/New%20navigation_Rebrand%203.0/dax.svg	(from https://247cointrading.com/)
15:38:15	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63fcba95-2a6960330769ea18;gz%22	https://247cointrading.com/en/prices/etfs/top-100-british-stocks-ftse100.html	/home/arewageek/dev/clones/247%20coin%20trading/247cointrading.com/en/prices/etfs/top-100-british-stocks-ftse100.html	(from https://247cointrading.com/)
15:38:15	567/567	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22a35c32ec06f2a3dd54b0f95c86c6c02f%22	https://cdn.bitpanda.com/media/New%20navigation_Rebrand%203.0/ftse100.svg	/home/arewageek/dev/clones/247%20coin%20trading/cdn.bitpanda.com/media/New%20navigation_Rebrand%203.0/ftse100.svg	(from https://247cointrading.com/)
15:38:17	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63fcba95-2a6960330769ea18;gz%22	https://247cointrading.com/en/prices/etfs/emerging-markets-stocks-msci-em.html	/home/arewageek/dev/clones/247%20coin%20trading/247cointrading.com/en/prices/etfs/emerging-markets-stocks-msci-em.html	(from https://247cointrading.com/)
15:38:18	567/567	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2236d4cc2b83b63ac0e2d16ee4dfab5be4%22	https://cdn.bitpanda.com/media/New%20navigation_Rebrand%203.0/msci-em.svg	/home/arewageek/dev/clones/247%20coin%20trading/cdn.bitpanda.com/media/New%20navigation_Rebrand%203.0/msci-em.svg	(from https://247cointrading.com/)
15:38:19	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63fcba95-2a6960330769ea18;gz%22	https://247cointrading.com/en/prices/etfs.html	/home/arewageek/dev/clones/247%20coin%20trading/247cointrading.com/en/prices/etfs.html	(from https://247cointrading.com/)
15:38:20	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63fcba95-2a6960330769ea18;gz%22	https://247cointrading.com/en/prices/bci-infrastructure-leaders-bciil.html	/home/arewageek/dev/clones/247%20coin%20trading/247cointrading.com/en/prices/bci-infrastructure-leaders-bciil.html	(from https://247cointrading.com/)
15:38:20	3095/3095	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%227ab3b4bc1d71846008b13761be884585%22	https://cdn.bitpanda.com/media/bci/navigation_icons/22_06_Website_BCI_LandingPage_BCI%20Infra_36x36.svg	/home/arewageek/dev/clones/247%20coin%20trading/cdn.bitpanda.com/media/bci/navigation_icons/22_06_Website_BCI_LandingPage_BCI%20Infra_36x36.svg	(from https://247cointrading.com/)
15:38:22	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63fcba95-2a6960330769ea18;gz%22	https://247cointrading.com/en/prices/bci-defi-leaders-bcidl.html	/home/arewageek/dev/clones/247%20coin%20trading/247cointrading.com/en/prices/bci-defi-leaders-bcidl.html	(from https://247cointrading.com/)
15:38:22	2885/2885	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%228811878ee283d7a3beadc5b9af9eb36e%22	https://cdn.bitpanda.com/media/bci/navigation_icons/22_06_Website_BCI_LandingPage_BCI%20DeFi_36x36.svg	/home/arewageek/dev/clones/247%20coin%20trading/cdn.bitpanda.com/media/bci/navigation_icons/22_06_Website_BCI_LandingPage_BCI%20DeFi_36x36.svg	(from https://247cointrading.com/)
15:38:24	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63fcba95-2a6960330769ea18;gz%22	https://247cointrading.com/en/prices/bci-media-entertainment-leaders-bciml.html	/home/arewageek/dev/clones/247%20coin%20trading/247cointrading.com/en/prices/bci-media-entertainment-leaders-bciml.html	(from https://247cointrading.com/)
15:38:24	3363/3363	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22d272987f843f0984a81025c1e367a721%22	https://cdn.bitpanda.com/media/bci/navigation_icons/bcime-01.svg	/home/arewageek/dev/clones/247%20coin%20trading/cdn.bitpanda.com/media/bci/navigation_icons/bcime-01.svg	(from https://247cointrading.com/)
15:38:26	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63fcba95-2a6960330769ea18;gz%22	https://247cointrading.com/en/prices/bci-smart-contract-leaders-bcisl.html	/home/arewageek/dev/clones/247%20coin%20trading/247cointrading.com/en/prices/bci-smart-contract-leaders-bcisl.html	(from https://247cointrading.com/)
15:38:26	3733/3733	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226fc27648d52718b6656f9ab05442ca95%22	https://cdn.bitpanda.com/media/bci/navigation_icons/22_06_Website_BCI_LandingPage_BCI%20Smart_36x36.svg	/home/arewageek/dev/clones/247%20coin%20trading/cdn.bitpanda.com/media/bci/navigation_icons/22_06_Website_BCI_LandingPage_BCI%20Smart_36x36.svg	(from https://247cointrading.com/)
15:38:28	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63fcba95-2a6960330769ea18;gz%22	https://247cointrading.com/en/prices/crypto-index/bci10.html	/home/arewageek/dev/clones/247%20coin%20trading/247cointrading.com/en/prices/crypto-index/bci10.html	(from https://247cointrading.com/)
15:38:28	3253/3253	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22f80071b260fe4d3032349d75f41379eb%22	https://cdn.bitpanda.com/media/bci/navigation_icons/22_06_Website_BCI_LandingPage_BCI%2010_36x36.svg	/home/arewageek/dev/clones/247%20coin%20trading/cdn.bitpanda.com/media/bci/navigation_icons/22_06_Website_BCI_LandingPage_BCI%2010_36x36.svg	(from https://247cointrading.com/)
15:38:30	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63fcba95-2a6960330769ea18;gz%22	https://247cointrading.com/en/prices/crypto-index/bci25.html	/home/arewageek/dev/clones/247%20coin%20trading/247cointrading.com/en/prices/crypto-index/bci25.html	(from https://247cointrading.com/)
15:38:30	3531/3531	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22d805465c3e3a81327e19e15a83b2632f%22	https://cdn.bitpanda.com/media/bci/navigation_icons/22_06_Website_BCI_LandingPage_BCI%2025_36x36.svg	/home/arewageek/dev/clones/247%20coin%20trading/cdn.bitpanda.com/media/bci/navigation_icons/22_06_Website_BCI_LandingPage_BCI%2025_36x36.svg	(from https://247cointrading.com/)
15:38:32	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63fcba95-2a6960330769ea18;gz%22	https://247cointrading.com/en/prices/crypto-index.html	/home/arewageek/dev/clones/247%20coin%20trading/247cointrading.com/en/prices/crypto-index.html	(from https://247cointrading.com/)
15:38:33	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63fcba95-2a6960330769ea18;gz%22	https://247cointrading.com/en/prices/gold-xau.html	/home/arewageek/dev/clones/247%20coin%20trading/247cointrading.com/en/prices/gold-xau.html	(from https://247cointrading.com/)
15:38:34	757/757	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22e250d8589dca206bbe024e3cbfb5ec77%22	https://cdn.bitpanda.com/media/New%20navigation_Rebrand%203.0/xau.svg	/home/arewageek/dev/clones/247%20coin%20trading/cdn.bitpanda.com/media/New%20navigation_Rebrand%203.0/xau.svg	(from https://247cointrading.com/)
15:38:35	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63fcba95-2a6960330769ea18;gz%22	https://247cointrading.com/en/prices/silver-xag.html	/home/arewageek/dev/clones/247%20coin%20trading/247cointrading.com/en/prices/silver-xag.html	(from https://247cointrading.com/)
15:38:35	757/757	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%228a358fc27f7b244c296100ef34819eb2%22	https://cdn.bitpanda.com/media/New%20navigation_Rebrand%203.0/xag.svg	/home/arewageek/dev/clones/247%20coin%20trading/cdn.bitpanda.com/media/New%20navigation_Rebrand%203.0/xag.svg	(from https://247cointrading.com/)
15:38:37	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63fcba95-2a6960330769ea18;gz%22	https://247cointrading.com/en/prices/palladium-xpd.html	/home/arewageek/dev/clones/247%20coin%20trading/247cointrading.com/en/prices/palladium-xpd.html	(from https://247cointrading.com/)
15:38:37	762/762	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2258f10ef614a7c4c47a130b68568e17cc%22	https://cdn.bitpanda.com/media/New%20navigation_Rebrand%203.0/xpd.svg	/home/arewageek/dev/clones/247%20coin%20trading/cdn.bitpanda.com/media/New%20navigation_Rebrand%203.0/xpd.svg	(from https://247cointrading.com/)
15:38:39	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63fcba95-2a6960330769ea18;gz%22	https://247cointrading.com/en/prices/platinum-xpt.html	/home/arewageek/dev/clones/247%20coin%20trading/247cointrading.com/en/prices/platinum-xpt.html	(from https://247cointrading.com/)
15:38:39	762/762	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22681a635e9e3cfea14b58c3267ff59d89%22	https://cdn.bitpanda.com/media/New%20navigation_Rebrand%203.0/xpt.svg	/home/arewageek/dev/clones/247%20coin%20trading/cdn.bitpanda.com/media/New%20navigation_Rebrand%203.0/xpt.svg	(from https://247cointrading.com/)
15:38:41	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63fcba95-2a6960330769ea18;gz%22	https://247cointrading.com/en/prices/precious-metals.html	/home/arewageek/dev/clones/247%20coin%20trading/247cointrading.com/en/prices/precious-metals.html	(from https://247cointrading.com/)
15:38:42	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63fcba95-2a6960330769ea18;gz%22	https://247cointrading.com/en/prices/commodities/brent-crude-oil.html	/home/arewageek/dev/clones/247%20coin%20trading/247cointrading.com/en/prices/commodities/brent-crude-oil.html	(from https://247cointrading.com/)
15:38:42	738/738	---M--	200	added ('OK')	image/png	etag:%22d56c2912988db085c266560840b4447f%22	https://cdn.bitpanda.com/media/New%20navigation_Rebrand%203.0/brent.png	/home/arewageek/dev/clones/247%20coin%20trading/cdn.bitpanda.com/media/New%20navigation_Rebrand%203.0/brent.png	(from https://247cointrading.com/)
15:38:44	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63fcba95-2a6960330769ea18;gz%22	https://247cointrading.com/en/prices/commodities/natural-gas-natgas.html	/home/arewageek/dev/clones/247%20coin%20trading/247cointrading.com/en/prices/commodities/natural-gas-natgas.html	(from https://247cointrading.com/)
15:38:44	686/686	---M--	200	added ('OK')	image/png	etag:%22fc316db398c1382011072f121df43942%22	https://cdn.bitpanda.com/media/New%20navigation_Rebrand%203.0/natgas.png	/home/arewageek/dev/clones/247%20coin%20trading/cdn.bitpanda.com/media/New%20navigation_Rebrand%203.0/natgas.png	(from https://247cointrading.com/)
15:38:46	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63fcba95-2a6960330769ea18;gz%22	https://247cointrading.com/en/prices/commodities/wheat.html	/home/arewageek/dev/clones/247%20coin%20trading/247cointrading.com/en/prices/commodities/wheat.html	(from https://247cointrading.com/)
15:38:46	712/712	---M--	200	added ('OK')	image/png	etag:%22d2a4ec8b2c9b3cfc47b2d7b91f290218%22	https://cdn.bitpanda.com/media/New%20navigation_Rebrand%203.0/wheat.png	/home/arewageek/dev/clones/247%20coin%20trading/cdn.bitpanda.com/media/New%20navigation_Rebrand%203.0/wheat.png	(from https://247cointrading.com/)
15:38:48	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63fcba95-2a6960330769ea18;gz%22	https://247cointrading.com/en/prices/commodities/soybeans-soybean.html	/home/arewageek/dev/clones/247%20coin%20trading/247cointrading.com/en/prices/commodities/soybeans-soybean.html	(from https://247cointrading.com/)
15:38:48	688/688	---M--	200	added ('OK')	image/png	etag:%2289ec55ef1b225bdd965ce482f6f1dd88%22	https://cdn.bitpanda.com/media/New%20navigation_Rebrand%203.0/soybean.png	/home/arewageek/dev/clones/247%20coin%20trading/cdn.bitpanda.com/media/New%20navigation_Rebrand%203.0/soybean.png	(from https://247cointrading.com/)
15:38:50	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63fcba95-2a6960330769ea18;gz%22	https://247cointrading.com/en/prices/commodities/copper.html	/home/arewageek/dev/clones/247%20coin%20trading/247cointrading.com/en/prices/commodities/copper.html	(from https://247cointrading.com/)
15:38:50	661/661	---M--	200	added ('OK')	image/png	etag:%2249805216bc1a6b9e6eae49b01e185267%22	https://cdn.bitpanda.com/media/New%20navigation_Rebrand%203.0/copper.png	/home/arewageek/dev/clones/247%20coin%20trading/cdn.bitpanda.com/media/New%20navigation_Rebrand%203.0/copper.png	(from https://247cointrading.com/)
15:38:52	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63fcba95-2a6960330769ea18;gz%22	https://247cointrading.com/en/prices/commodities/nickel.html	/home/arewageek/dev/clones/247%20coin%20trading/247cointrading.com/en/prices/commodities/nickel.html	(from https://247cointrading.com/)
15:38:52	665/665	---M--	200	added ('OK')	image/png	etag:%22a8f9628dd102bbb7f749f6c24850bade%22	https://cdn.bitpanda.com/media/New%20navigation_Rebrand%203.0/nickel.png	/home/arewageek/dev/clones/247%20coin%20trading/cdn.bitpanda.com/media/New%20navigation_Rebrand%203.0/nickel.png	(from https://247cointrading.com/)
15:38:54	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63fcba95-2a6960330769ea18;gz%22	https://247cointrading.com/en/prices/commodities.html	/home/arewageek/dev/clones/247%20coin%20trading/247cointrading.com/en/prices/commodities.html	(from https://247cointrading.com/)
15:38:56	95980/95980	---M-Z	200	added ('OK')	text/html	etag:%22176ec-6423e358-7f5eb9a90ca819fe;gz%22	https://247cointrading.com/en/features.html	/home/arewageek/dev/clones/247%20coin%20trading/247cointrading.com/en/features.html	(from https://247cointrading.com/)
15:38:56	1015/1015	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22dd691ba6977370e6d0cdbd36d889fe83%22	https://cdn.bitpanda.com/media/New%20navigation_Rebrand%203.0/Crypto%20Index%20new.svg	/home/arewageek/dev/clones/247%20coin%20trading/cdn.bitpanda.com/media/New%20navigation_Rebrand%203.0/Crypto%20Index%20new.svg	(from https://247cointrading.com/)
15:38:56	1529/1529	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22870f0382dea95c8dc1965cd5b89f6583%22	https://cdn.bitpanda.com/media/New%20navigation_Rebrand%203.0/Group%201306.svg	/home/arewageek/dev/clones/247%20coin%20trading/cdn.bitpanda.com/media/New%20navigation_Rebrand%203.0/Group%201306.svg	(from https://247cointrading.com/)
15:38:57	964/964	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2266e8e7b375d64af1401c5570156cca72%22	https://cdn.bitpanda.com/media/New%20navigation_Rebrand%203.0/Group%2043-1new.svg	/home/arewageek/dev/clones/247%20coin%20trading/cdn.bitpanda.com/media/New%20navigation_Rebrand%203.0/Group%2043-1new.svg	(from https://247cointrading.com/)
15:38:59	2243/2243	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2279592f7fbd8456e9879be552e9e37531%22	https://cdn.bitpanda.com/media/New%20navigation_Rebrand%203.0/Group%201309.svg	/home/arewageek/dev/clones/247%20coin%20trading/cdn.bitpanda.com/media/New%20navigation_Rebrand%203.0/Group%201309.svg	(from https://247cointrading.com/)
15:39:00	1725/1725	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22c0adfa4f733b54e128d62f32c4ddbb48%22	https://cdn.bitpanda.com/media/New%20navigation_Rebrand%203.0/Group%201310.svg	/home/arewageek/dev/clones/247%20coin%20trading/cdn.bitpanda.com/media/New%20navigation_Rebrand%203.0/Group%201310.svg	(from https://247cointrading.com/)
15:39:01	995/995	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225d6e0eab88b3def1a2615330a1b41a9d%22	https://cdn.bitpanda.com/media/New%20navigation_Rebrand%203.0/Group%201307.svg	/home/arewageek/dev/clones/247%20coin%20trading/cdn.bitpanda.com/media/New%20navigation_Rebrand%203.0/Group%201307.svg	(from https://247cointrading.com/)
15:39:02	1236/1236	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2212fdfc21ae7e8110d9da60325a48662d%22	https://cdn.bitpanda.com/media/New%20navigation_Rebrand%203.0/Group%201308.svg	/home/arewageek/dev/clones/247%20coin%20trading/cdn.bitpanda.com/media/New%20navigation_Rebrand%203.0/Group%201308.svg	(from https://247cointrading.com/)
15:39:02	573/573	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22e6d18ec12735649112c58f3e596f81a6%22	https://cdn.bitpanda.com/media/New%20navigation_Rebrand%203.0/2022_May_Product_Staking%20icon_2022_May_Product_Staking%20icon_36x36.svg	/home/arewageek/dev/clones/247%20coin%20trading/cdn.bitpanda.com/media/New%20navigation_Rebrand%203.0/2022_May_Product_Staking%20icon_2022_May_Product_Staking%20icon_36x36.svg	(from https://247cointrading.com/)
15:39:04	2375/2375	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22b005acfcc0895f307855373dab78301f%22	https://cdn.bitpanda.com/media/New%20navigation_Rebrand%203.0/Group%201311.svg	/home/arewageek/dev/clones/247%20coin%20trading/cdn.bitpanda.com/media/New%20navigation_Rebrand%203.0/Group%201311.svg	(from https://247cointrading.com/)
15:39:05	1204/1204	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22cbd65eb6c7f2e56be4230dd47e55f6af%22	https://cdn.bitpanda.com/media/New%20navigation_Rebrand%203.0/Group%201312.svg	/home/arewageek/dev/clones/247%20coin%20trading/cdn.bitpanda.com/media/New%20navigation_Rebrand%203.0/Group%201312.svg	(from https://247cointrading.com/)
15:39:05	837/837	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22cce584b0ba1fb7c2d326fcd3c0767ecd%22	https://cdn.bitpanda.com/media/New%20navigation_Rebrand%203.0/Group%2043-2.svg	/home/arewageek/dev/clones/247%20coin%20trading/cdn.bitpanda.com/media/New%20navigation_Rebrand%203.0/Group%2043-2.svg	(from https://247cointrading.com/)
15:39:06	75101/75101	---M--	200	added ('OK')	image/png	etag:%2222ea5deb3345788502e2c472abc0221f%22	https://cdn.bitpanda.com/media/New%20navigation_Rebrand%203.0/Screenshot%202022-11-17%20at%2011.14.47.png	/home/arewageek/dev/clones/247%20coin%20trading/cdn.bitpanda.com/media/New%20navigation_Rebrand%203.0/Screenshot%202022-11-17%20at%2011.14.47.png	(from https://247cointrading.com/)
